,year,score,votes,runtime,genre_mapped,director_mapped,writer_codif,rating_mapped,star_mapped,votos_por_director,facutracion_por_director,votos_por_año,facturacion_por_genre,budget,gross
0,1980.0,8.4,927000.0,146.0,15.0,90.0,4014,6.0,100.0,428702.7,285545745.11,44581.97,38930959.49,19000000.0,46998772.0
1,1980.0,5.8,65000.0,104.0,18.0,50.0,1632,6.0,60.0,82822.56,74591008.15,44581.97,109325230.22,4500000.0,58853106.0
2,1980.0,8.7,1200000.0,124.0,19.0,60.0,2567,10.0,80.0,102137.26,87793911.98,44581.97,145508580.85,18000000.0,538375067.0
3,1980.0,7.7,221000.0,88.0,17.0,40.0,2000,10.0,50.0,30064.61,36815715.74,44581.97,44331874.3,3500000.0,83453539.0
4,1980.0,7.3,108000.0,98.0,17.0,70.0,521,6.0,70.0,149101.61,118734218.5,44581.97,44331874.3,6000000.0,39846344.0
5,1980.0,6.4,123000.0,95.0,16.0,30.0,4362,6.0,40.0,27301.54,26788246.88,44581.97,47372409.13,550000.0,39754601.0
6,1980.0,7.9,188000.0,133.0,19.0,60.0,838,6.0,90.0,102137.26,87793911.98,44581.97,145508580.85,27000000.0,115229890.0
7,1980.0,8.2,330000.0,129.0,,80.0,1769,6.0,100.0,236700.88,191060303.56,44581.97,,18000000.0,23402427.0
8,1980.0,6.8,101000.0,127.0,19.0,50.0,1979,10.0,90.0,82822.56,74591008.15,44581.97,145508580.85,54000000.0,108185706.0
9,1980.0,7.0,10000.0,100.0,,60.0,423,6.0,70.0,102137.26,87793911.98,44581.97,,10000000.0,15795189.0
